CODE,NAME
150953672,PRINCE METAL STAMPINGS USA
151373446,ABC INOAC EXTERIOR SYSTEMS LLC
151927944,AVON AUTOMOTIVE HOLDINGS INC
152054409,NASCOTE INDUSTRIES INC
152091179,RYOBI DIE CASTING (USA) INC
152890224,DELPHI AUTOMOTIVE SYSTEMS LLC
154179675,SCHAIN MOLD & ENGINEERING INC
155211592,SUPERIOR INDUSTRIES INTERNATIONAL
155422707,TESA TAPE INC
160011953,REMY INC
160016291,GESTAMP MASON LLC
161372248,TG MISSOURI CORP
167783310,LACKS EXTERIOR SYSTEMS LLC
168000433,DONG AH AMERICA INC
168546252,EAGLE INDUSTRIES INC
170577618,AGM AUTOMOTIVE INC
175597137,NEW SABINA INDUSTRIES INC
177116597,ABC TECHNOLOGIES INC
181417572,ICON METALFORMING LLC
183117860,MITSUBISHI ELECTRIC AUTOMOTIVE AMER
183568419,COOPER-STANDARD AUTOMOTIVE INC
184861805,MOHR ENGINEERING INC
185581852,ZF CHASSIS COMPONENTS LLC
185980109,MARK IV LLC
186318176,HUTCHINSON ANTIVIBRATION SYSTEMS IN
186680323,ABC AUTOMOTIVE SYSTEMS INC
187592758,SMW AUTOMOTIVE LLC
187984265,LENAWEE STAMPING CORP
188277016,COOPER-STANDARD AUTOMOTIVE INC
188753222,CLEVELAND HARDWARE & FORGING CO
188918163,TRACE DIE CAST INC
188962112,DANA SEALING MANUFACTURING LLC
189658198,SIKA CORP
192467579,INTERNATIONAL AUTOMOTIVE COMPONENTS
194647103,RIDGEVIEW INDUSTRIES INC
195036272,AGC FLAT GLASS NORTH AMERICA INC
196138536,BOSCH, ROBERT LLC
197084635,SHIROKI NORTH AMERICA INC
198022316,FLEX-N-GATE TEXAS LLC
198237252,GESTAMP ALABAMA INC
198605354,A RAYMOND TINNERMAN AUTOMOTIVE INC
200159502,MARTINREA INTERNATIONAL INC
200346773,VENTRA GROUP INC
201048894,DANA CANADA CORP
201189391,AUTOLIV ELECTRONICS CANADA INC
201309945,COOPER STANDARD AUTOMOTIVE CANADA
201345410,HENNIGES AUTOMOTIVE SCHLEGEL CANADA
201547189,SCHAEFFLER CANADA INC
201781858,ACCURCAST INC
202679841,MAGNA CLOSURES INC
203254292,MAGNA CLOSURES
205527539,AP PLASMAN INC
205593411,WIRCO PRODUCTS LTD
205631570,REA INTERNATIONAL INC
205833874,CENTRAL STAMPING LTD
207338187,SALGA ASSOCIATES
208236844,COMMERCIAL SPRING & TOOL CO LTD
209022177,WINDSOR MOLD INC
240773507,RB&W CORP OF CANADA
240887302,MARWOOD METAL FABRICATION LTD
240929703,MAGNA INTERNATIONAL INC
240947622,LITENS AUTOMOTIVE PARTNERSHIP
240947697,MAGNA POWERTRAIN INC
241201230,AP PLASMAN CORP
242059041,MARTINREA INTERNATIONAL INC
242800241,VENTRA GROUP INC
243198058,EXO-S INC
243353070,MAHLE FILTER SYSTEMS CANADA ULC
243459851,MARKDOM PLASTIC PRODUCTS LTD
243503914,GRENVILLE CASTINGS (2007) LTD
243579245,LONDON AUTOMOTIVE & MANUFACTURING
243615127,GATES CANADA INC
243649170,LAKESIDE PLASTICS LTD
243678062,WEGU MANUFACTURING INC
243799157,INFASCO NUT LP
